Jomashop values	Normlised	Fix	Attribute			
Meatl 	Base Metal	Base Metal	 bezel.material			
Mineral 	  		 bezel.material			
Monobloc Cerachrom 	Ceramic	Ceramic	 bezel.material			
Monobloc Cerachrom showing Tachymeter Markings 	Ceramic	Ceramic	 bezel.material			
Multicolor 	  		 bezel.material			
Nickel Compliant 	  		 bezel.material			
One - Small Second 	  		 bezel.material			
Orange Ion Plated 	  		 bezel.material			
PVD 	  		 bezel.material			
Pastic 	Plastic	Plastic	 bezel.material			
Pink Baguette Crysta 	Crystal	Crystal	 bezel.material			
Platnum 	Platinum	Platinum	 bezel.material			
Polished Bezel 	  		 bezel.material			
Polyamide 	Polyamide	Polyamide	 bezel.material			
Polymer 	Polymer	Polymer	 bezel.material			
Polymeric 	Polymer	Polymer	 bezel.material			
PowerLite 	  		 bezel.material			
RG/S/S 	  		 bezel.material			
Rasin 	Reisin	Reisin	 bezel.material			
Red Ruby 	Ruby	Ruby	 bezel.material			
Red Spinel 	  		 bezel.material			
Red Spinel Stones 	  		 bezel.material			
Rose Gold-tone 	  		 bezel.material			
Rose Gold-tone Plated 	  		 bezel.material			
Round 	  		 bezel.material			
Ruby 	Ruby	Ruby	 bezel.material			
S/S diam 	Stainless Steel	Stainless Steel	 bezel.material			
Set with 36 Tsavorites 	  		 bezel.material			
Showing Tachymeter Markings 	  		 bezel.material			
Silver-tone 	  		 bezel.material			
"Silver-tone, Blue and Red "	  		 bezel.material			
Stabilized Titanic extreme rusted 	  		 bezel.material			
Swarovski Elements 	  		 bezel.material			
TR90 	Plastic	Plastic	 bezel.material			
TR90 Composie 	Plastic	Plastic	 bezel.material			
TR90 Composit 	Plastic	Plastic	 bezel.material			
TR90 Polymer 	Plastic	Plastic	 bezel.material			
Tatanium 	Titanium	Titanium	 bezel.material			
Texalium 			 bezel.material			
Tiitanium 	Titanium	Titanium	 bezel.material			
Titanim 	Titanium	Titanium	 bezel.material			
Transparent 	  		 bezel.material			
"Two- Date, Day of the Week "	  		 bezel.material			
Ultralight Polymer (Breitlight) 	Polymer	Polymer	 bezel.material			
White 	  		 bezel.material			
Yellow 	  		 bezel.material			
Yellow Gold-tone 	  		 bezel.material			
Yellow PVD 	  		 bezel.material			
Yellow and Silver-tone 	  		 bezel.material			
Zalium 	Zalium	Zalium	 bezel.material			
Zirconium 	Zirconium	Zirconium	 bezel.material			
Zirconium Set 	Zirconium	Zirconium	 bezel.material			
chroma finishing 	  		 bezel.material			
l 	  		 bezel.material			
polished and sandblasted 	  		 bezel.material			
showing Tachymeter Markings 	  		 bezel.material			
v 	  		 bezel.material			
with Green Texalium Upper Layer 	  		 bezel.material			
with a Blue Top Ring 	  		 bezel.material			
with an Orange Top Ring 	  		 bezel.material			
(Anodized) Alumunium 	Aluminium	Aluminium	 case.material			
12 Applied Galvanic Parts 	  		 case.material			
18kt 	  		 case.material			
18kt Gold-tone 	  		 case.material			
18kt Gold-tone Plated 	  		 case.material			
18kt Rose Gold-tone 	  		 case.material			
18kt Rose Gold-tone Plated 	  		 case.material			
40 mm 	  		 case.material			
950 Platiunum 	Platinum	Platinum	 case.material			
ALUN 316B 	  		 case.material			
ASA827RG and AS8043RG- Rose Gold Tone AS8044TTR- T 	  		 case.material			
Acetace 	 Acetate	 Acetate	 case.material			
Alacrite 602 	  		 case.material			
Alchron 	  		 case.material			
Allpy 	Alloy	Alloy	 case.material			
Argentium 	  		 case.material			
Azo Polyepoxyde 	  		 case.material			
BMG-Tech 	  		 case.material			
Base Meatl 	Base Metal	Base Metal	 case.material			
Black 	  		 case.material			
Black  Ion-plated 	  		 case.material			
Black DLC Coated Zalium 	Zalium	Zalium	 case.material			
Black Diaphane 	  		 case.material			
Black Ion-plated 	  		 case.material			
Black Micro-Blasted 	  		 case.material			
Black PVD 	  		 case.material			
Black PVD Coated 	  		 case.material			
Black Plasteramic 	Plasteramic	Plasteramic	 case.material			
Black Plastiv 	Plastic	Plastic	 case.material			
Black Plastric 	Plastic	Plastic	 case.material			
Black TR90 	Plastic	Plastic	 case.material			
Black and Gold-tone PVD 	  		 case.material			
Black/White PVD 	  		 case.material			
Blue 	  		 case.material			
Blue Duralumin 	Duralumin	Duralumin	 case.material			
Blue Plasteramic 	Plasteramic	Plasteramic	 case.material			
