Jomashop values	Normlised	Fix	Attribute			
(Alliagtor) Leather 	 Alligator Leather /  		 band.material			
(Alligaor) Leather 	 Alligator Leather /  		 band.material			
(Alligaror) Leather 	 Alligator Leather /  		 band.material			
(Alligator ) Leather 	 Alligator Leather /  		 band.material			
(Alligator Mississippi) Leather 	 Alligator Leather /  		 band.material			
(Alligator Nubuck) Leather (with a fine felt finis 	 Alligator Leather /  		 band.material			
(Alligator)  Leather 	 Alligator Leather /  		 band.material			
(Alligator) (Gummy Backed) Leather 	 Alligator Leather /  		 band.material			
(Alligator) ) Leather 	 Alligator Leather /  		 band.material			
(Alligator) Leather 	 Alligator Leather /  		 band.material			
(Alligator) Leather (Alzavel Lined) 	 Alligator Leather /  		 band.material			
(Alligator) Leather (Glossy) 	 Alligator Leather /  		 band.material			
(Alligator) Lreather 	 Alligator Leather /  		 band.material			
(Alligator) leather 	 Alligator Leather /  		 band.material			
(Glossy Alligator) Leather 	 Alligator Leather /  		 band.material			
(Hand-Stiched Alligator) Leather 	 Alligator Leather /  		 band.material			
(Louisana Alligator) Leather 	 Alligator Leather /  		 band.material			
(Louisiana Alligator ) Leather 	 Alligator Leather /  		 band.material			
(Louisiana Alligator) Leather 	 Alligator Leather /  		 band.material			
(Mississippiensis Alligator) Leather 	 Alligator Leather /  		 band.material			
(Patent Alligator) Leather 	 Alligator Leather /  		 band.material			
(Pearl Alligator) Leather 	 Alligator Leather /  		 band.material			
(Semi Matt Alligator) Leather 	 Alligator Leather /  		 band.material			
(Semi-matte Alligator) Leather 	 Alligator Leather /  		 band.material			
(Shiny Alligator) Leather 	 Alligator Leather /  		 band.material			
(Smooth Alligator) Leather 	 Alligator Leather /  		 band.material			
(Soft-Touch Alligator) Leather 	 Alligator Leather /  		 band.material			
(alligator) Leather 	 Alligator Leather /  		 band.material			
Aalligator Leather 	 Alligator Leather /  		 band.material			
Aligator Leather 	 Alligator Leather /  		 band.material			
Alliagtor Leather 	 Alligator Leather /  		 band.material			
Alligaor Leather 	 Alligator Leather /  		 band.material			
Alligator 	 Alligator Leather /  		 band.material			
Alligator Antique Brown 	 Alligator Leather /  		 band.material			
Alligator Blue Leather 	 Alligator Leather /  		 band.material			
Alligator Brown Leather 	 Alligator Leather /  		 band.material			
Alligator Gummy 	 Alligator Leather /  		 band.material			
Alligator Leaher 	 Alligator Leather /  		 band.material			
Alligator Learther 	 Alligator Leather /  		 band.material			
Alligator Leather 	 Alligator Leather /  		 band.material			
Alligator Leather (matt) 	 Alligator Leather /  		 band.material			
Alligator Leather (semi-matt) 	 Alligator Leather /  		 band.material			
Alligator Leather - Blue 	 Alligator Leather /  		 band.material			
Alligator Leather - Gray with pink stiching 	 Alligator Leather /  		 band.material			
Alligator Leather - Light Blue 	 Alligator Leather /  		 band.material			
Alligator Leather - Pink 	 Alligator Leather /  		 band.material			
Alligator Leather Lined with Alzavel 	 Alligator Leather /  		 band.material			
Alligator Leather Strap with Protective Rubb 	 Alligator Leather /  		 band.material			
Alligator Leather by Santoni 	 Alligator Leather /  		 band.material			
Alligator Leather strap 	 Alligator Leather /  		 band.material			
Alligator Leather with Alzavel 	 Alligator Leather /  		 band.material			
Alligator Leathwer 	 Alligator Leather /  		 band.material			
Alligator Lined with Alzavel 	 Alligator Leather /  		 band.material			
Alligator Mississippiensis 	 Alligator Leather /  		 band.material			
Alligator Mississippiensis Brown 	 Alligator Leather /  		 band.material			
Alligator Mississippiensis Leather 	 Alligator Leather /  		 band.material			
Alligator Nubuck Leather 	 Alligator Leather /  		 band.material			
Alligator Santoni Leather 	 Alligator Leather /  		 band.material			
Alligator Skin 	 Alligator Leather /  		 band.material			
Alligator Skin Leather 	 Alligator Leather /  		 band.material			
Alligator Skin Strap 	 Alligator Leather /  		 band.material			
Alligator Soft Touch Leather 	 Alligator Leather /  		 band.material			
Alligator Strap with Contrast Stitching 	 Alligator Leather /  		 band.material			
Alligator leather 	 Alligator Leather /  		 band.material			
Alligator leather strap 	 Alligator Leather /  		 band.material			
Alligator strap 	 Alligator Leather /  		 band.material			
"Alligator strap with square scales, hand-stitched, "	 Alligator Leather /  		 band.material			
Alligator) Leather 	 Alligator Leather /  		 band.material			
Alligator-skin 	 Alligator Leather /  		 band.material			
Alligator-skin Leather 	 Alligator Leather /  		 band.material			
Allligator Leather 	 Alligator Leather /  		 band.material			
Anthracite Alligator Leather 	 Alligator Leather /  		 band.material			
Anthracite alligator leather 	 Alligator Leather /  		 band.material			
Aubergine Alligator Leather 	 Alligator Leather /  		 band.material			
Balck Alligator Leather 	 Alligator Leather /  		 band.material			
Black (Hornback) Alligator Leather 	 Alligator Leather /  		 band.material			
Black Alligator Gummy 	 Alligator Leather /  		 band.material			
Black Alligator soft touch Leather (yellow stitchi 	 Alligator Leather /  		 band.material			
Black AlligatorLeather 	 Alligator Leather /  		 band.material			
Black Gummy Alligator 	 Alligator Leather /  		 band.material			
Black Gummy Alligator Leather 	 Alligator Leather /  		 band.material			
Black Louisiana Alligator leather 	 Alligator Leather /  		 band.material			
Blue (Hornback) Alligator Leather 	 Alligator Leather /  		 band.material			
Blue Leather with Alligator Patern 	 Alligator Leather /  		 band.material			
Bone Alligator Leather 	 Alligator Leather /  		 band.material			
Bordeaux Alligator Leather 	 Alligator Leather /  		 band.material			
Brown Alligator Leather (hand-stitched) 	 Alligator Leather /  		 band.material			
Brown Perforated Alligator 	 Alligator Leather /  		 band.material			
Brown Rolled-Edge Hand Woven Alligator Leather 	 Alligator Leather /  		 band.material			
Burgundy Alligator Leather 	 Alligator Leather /  		 band.material			
Burgundy Mississippiensis Alligator Leather 	 Alligator Leather /  		 band.material			
Burgundy alligator strap 	 Alligator Leather /  		 band.material			
Camel Leather Alligator 	 Alligator Leather /  		 band.material			
Claret Alligator 	 Alligator Leather /  		 band.material			
Claret Alligator Leather 	 Alligator Leather /  		 band.material			
Cognac Alligator leather 	 Alligator Leather /  		 band.material			
Coral Alligator 	 Alligator Leather /  		 band.material			
Dark Blue Gummy Alligator 	 Alligator Leather /  		 band.material			
Dark Brown Alligator 	 Alligator Leather /  		 band.material			
Dark Pink Alligator 	 Alligator Leather /  		 band.material			
Dark Purple Alligator 	 Alligator Leather /  		 band.material			
Espresso Alligator 	 Alligator Leather /  		 band.material			
Espresso Alligator Leather 	 Alligator Leather /  		 band.material			
Fuchsia Alligator Leather 	 Alligator Leather /  		 band.material			
Fuchsia Alligator Skin 	 Alligator Leather /  		 band.material			
Fuchsia Pink Alligator 	 Alligator Leather /  		 band.material			
Fuchsia Pink Alligator Leather 	 Alligator Leather /  		 band.material			
Fuchsia-pink Alligator-skin Leather 	 Alligator Leather /  		 band.material			
Genuine Alligator 	 Alligator Leather /  		 band.material			
Genuine Alligator Black 	 Alligator Leather /  		 band.material			
Glossy Alligator Leather 	 Alligator Leather /  		 band.material			
Glossy Fuchsia Alligator Leather 	 Alligator Leather /  		 band.material			
Glossy black alligator leather sewn onto black rub 	 Alligator Leather /  		 band.material			
Green Gummy Alligator 	 Alligator Leather /  		 band.material			
Grey Alligator Leather 	 Alligator Leather /  		 band.material			
Grey shiny Alligator Leather 	 Alligator Leather /  		 band.material			
Gummy Alligator 	 Alligator Leather /  		 band.material			
Gummy Alligator Leather 	 Alligator Leather /  		 band.material			
Gummy Alligator Strap 	 Alligator Leather /  		 band.material			
Hand Stitched Alligator Leather 	 Alligator Leather /  		 band.material			
Hand-Stiched Black Alligator Leather 	 Alligator Leather /  		 band.material			
Hand-sewn Alligator Leather 	 Alligator Leather /  		 band.material			
Hand-stitched Alligator Leather 	 Alligator Leather /  		 band.material			
Honey Alligator Leather 	 Alligator Leather /  		 band.material			
Hornback Alligator Leather 	 Alligator Leather /  		 band.material			
Horned Alligator Leather 	 Alligator Leather /  		 band.material			
Hot Pink Alligator 	 Alligator Leather /  		 band.material			
Ivory Alligator 	 Alligator Leather /  		 band.material			
Leather Alligator 	 Alligator Leather /  		 band.material			
Leather Alligator Strap 	 Alligator Leather /  		 band.material			
Leather with Alligator print 	 Alligator Leather /  		 band.material			
Light Gray Alligator Leather 	 Alligator Leather /  		 band.material			
Lilac Alligator Leather 	 Alligator Leather /  		 band.material			
Louisana Alligator 	 Alligator Leather /  		 band.material			
Louisiana Alligator Leather 	 Alligator Leather /  		 band.material			
Louisiana-alligator Leather 	 Alligator Leather /  		 band.material			
Magenta Alligator Leather 	 Alligator Leather /  		 band.material			
"Matt Black Alligator Leather, Hand-Stitched "	 Alligator Leather /  		 band.material			
Mauve Alligator 	 Alligator Leather /  		 band.material			
Mississippiensis Alligator 	 Alligator Leather /  		 band.material			
Mississippiensis Alligator Leather 	 Alligator Leather /  		 band.material			
Multi-Color Alligator Leather 	 Alligator Leather /  		 band.material			
Multi-Colored Alligator 	 Alligator Leather /  		 band.material			
Multi-Colored Alligator Strap with Contrast Stitch 	 Alligator Leather /  		 band.material			
Navy Alligator Leather 	 Alligator Leather /  		 band.material			
Navy Alligator Lined with Alzavel 	 Alligator Leather /  		 band.material			
Navy Blue Alligator 	 Alligator Leather /  		 band.material			
Nude Pink Alligator 	 Alligator Leather /  		 band.material			
Oxblood Alligator Leather 	 Alligator Leather /  		 band.material			
Pale Alligator Leather 	 Alligator Leather /  		 band.material			
"Pale Grey Alligator Leather, Hand Stitched "	 Alligator Leather /  		 band.material			
Patent Alligator Leather 	 Alligator Leather /  		 band.material			
Pearly Dark Grey Alligator Leather 	 Alligator Leather /  		 band.material			
Pearly White Alligator Leather 	 Alligator Leather /  		 band.material			
Perforated Alligator 	 Alligator Leather /  		 band.material			
Powder Pink Alligator Leather 	 Alligator Leather /  		 band.material			
Red-Orange Alligator Leather 	 Alligator Leather /  		 band.material			
Rolled Edge - Hand Stitched Alligator Leather 	 Alligator Leather /  		 band.material			
Rolled-Edge Woven Alligator Leather 	 Alligator Leather /  		 band.material			
Santoni Alligator Leather 	 Alligator Leather /  		 band.material			
Semi-Matt Alligator Leather 	 Alligator Leather /  		 band.material			
Semi-Matt Alligator-Skin Leather 	 Alligator Leather /  		 band.material			
Semi-Matte Alligator Leather 	 Alligator Leather /  		 band.material			
Semi-matt Alligator-skin 	 Alligator Leather /  		 band.material			
Semi-matte Alligator Leather 	 Alligator Leather /  		 band.material			
Semi-matte Black Alligator Leather 	 Alligator Leather /  		 band.material			
Shiny Pink Alligator 	 Alligator Leather /  		 band.material			
Shiny Taupe Alligator Leather 	 Alligator Leather /  		 band.material			
Soft-Touch Alligator Leather 	 Alligator Leather /  		 band.material			
Taupe Alligator 	 Alligator Leather /  		 band.material			
Taupe Alligator Leather 	 Alligator Leather /  		 band.material			
Turquoise Alligator 	 Alligator Leather /  		 band.material			
Violet Alligator Leather (matt) 	 Alligator Leather /  		 band.material			
White Alligator Leather Lined with Alzavel 	 Alligator Leather /  		 band.material			
Woven Alligator Leather 	 Alligator Leather /  		 band.material			
alligator Leather 	 Alligator Leather /  		 band.material			
hand-stitched alligator (black) or Barenia (black) 	 Alligator Leather /  		 band.material			
leather-alligator 	 Alligator Leather /  		 band.material			
"shiny alligator with square scales, hand-stitched, "	 Alligator Leather /  		 band.material			
(Alligator and Calfskin) Leather 	 Alligator Leather / Calfskin Leather /  		 band.material			
(Alligator and Calfskin) Leather Leather 	 Alligator Leather / Calfskin Leather /  		 band.material			
Brown Calfskin/ Alligator Leather 	 Alligator Leather / Calfskin Leather /  		 band.material			
Calfskin Alligator 	 Alligator Leather / Calfskin Leather /  		 band.material			
Alligator Leather Set with 30 brilliant-cut Diamon 	 Alligator Leather / Diamond /  		 band.material			
Alligator Skin and 250 Diamonds (1.5ct) 	 Alligator Leather / Diamond /  		 band.material			
Denim Gummy Alligator 	 Alligator Leather / Fabric /  		 band.material			
Denim Gummy Alligator 	 Alligator Leather / Fabric /  		 band.material			
(Alligator) (Gummy Rubber backed) Leather 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Gummy Leather (Rubber Backed) 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather (Rubber Backed) 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather (Rubber Blacked) 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather (with Protective Rubber Lining 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather / Rubber Backed 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather / Rubber Inner 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather with Protective Rubber Lining 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather with Protective Rubber lining 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather with Rubber Lining 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather with a Protective Rubber Linin 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Leather/ Rubber 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Outer / Rubber Inner 	 Alligator Leather / Rubber /  		 band.material			
(Alligator) Rubber 	 Alligator Leather / Rubber /  		 band.material			
(Vintage Alligator) Leather (Black Rubber Backed) 	 Alligator Leather / Rubber /  		 band.material			
(Vintage Alligator) Leather (Rubber Backed) 	 Alligator Leather / Rubber /  		 band.material			
Alligator & Rubber 	 Alligator Leather / Rubber /  		 band.material			
Alligator & Rubber Green 	 Alligator Leather / Rubber /  		 band.material			
Alligator & Rubber Pink 	 Alligator Leather / Rubber /  		 band.material			
Alligator Gummy Leather (Rubber Backed) 	 Alligator Leather / Rubber /  		 band.material			
Alligator Gummy Leather (Rubber Blacked) 	 Alligator Leather / Rubber /  		 band.material			
Alligator Gummy Rubber 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather  with Rubber Lining 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather (Gummy Rubber Backed) 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather (Rubber Backed) 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather (Rubber Lined) 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather (w. Protective Rubber Lining) 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather / Rubber Linned 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather Lined with Rubber 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather Rubber Backed 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather and Rubber 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather with Gummy Rubber undersid 	 Alligator Leather / Rubber /  		 band.material			
Alligator Leather with Protective Rubber Lin 	 Alligator Leather / Rubber /  		 band.material			
